timestamp,from_bank,from_account,to_bank,to_account,amount_received,receiving_currency,amount_paid,payment_currency,payment_format
2022-12-22 20:51:02,Société Générale,GPIE50400378347308,Collins-Reynolds,GCHP34403600832242,3233.19,EUR,3733.6,EUR,SEPA
2021-07-17 23:42:16,Société Générale,FPHL61255630987989,"Santiago, Townsend and Martinez",EYOV88231285293628,783.74,EUR,3415.83,GBP,SEPA
2020-12-10 07:39:31,Société Générale,KFTY36442252895504,Singleton and Sons,EHFU00424199934016,2993.41,EUR,246.01,EUR,SEPA
2020-11-08 18:12:49,Société Générale,DZLV92031708346399,"Leonard, Ferguson and Stephens",URSE58450272484979,2576.24,EUR,2850.1,GBP,INTERNAL
2021-03-29 07:41:34,Société Générale,TIJF84059217532572,Smith PLC,JLPS89889326197165,3536.49,USD,1180.16,GBP,SWIFT
2020-09-17 04:18:17,Société Générale,ANCF44486320440721,Dorsey PLC,PSRC15871967872386,4066.21,EUR,3818.16,EUR,INTERNAL
2024-10-20 21:24:01,Société Générale,ECQB58743878545191,"White, Riddle and Ferguson",QRFF79364438117517,2170.81,USD,861.85,USD,SEPA
2025-05-08 07:58:17,Société Générale,JSTV65353361494661,"Thomas, Brown and Sanford",RNMK57137152921682,554.45,EUR,1859.0,USD,INTERNAL
2022-01-26 15:54:20,Société Générale,YSJG87751199306331,"Shaw, Greene and Goodwin",XNWU54971120168665,1396.15,EUR,3675.69,GBP,SEPA
2021-10-22 11:20:05,Société Générale,TPFC91983121958828,"Schmidt, Hill and Carter",WGLU91006984493428,4868.27,USD,486.12,USD,INTERNAL
2025-01-02 14:10:45,Société Générale,TEUT83061308762544,"Adams, Johnson and Pearson",KEZI23555065849766,3130.75,USD,2929.03,GBP,SEPA
2020-03-09 16:08:22,Société Générale,KCVY86980110827412,"Lawrence, Soto and Armstrong",LCYY43221007223562,324.54,EUR,3888.03,EUR,SEPA
2021-12-14 06:57:08,Société Générale,BREY35887604069018,Nelson and Sons,HLOP28763104822318,4345.77,USD,1462.07,GBP,SWIFT
2024-08-16 18:15:57,Société Générale,DZVE96176225474387,Adams-Moran,KCKH08014851964009,897.01,USD,1126.58,USD,INTERNAL
2022-08-25 22:08:59,Société Générale,JLEG31175728322410,Lynch-Ballard,YWZI78694447270896,4689.61,GBP,449.87,GBP,SEPA
2022-12-21 04:12:03,Société Générale,LKOJ83955832780677,Ray and Sons,CZWJ40236944439075,2717.29,EUR,900.67,USD,SWIFT
2024-11-19 19:40:07,Société Générale,CUZP74366868394292,"Brown, Young and Brooks",WNNX03305297708830,4948.66,GBP,3471.99,EUR,INTERNAL
2023-10-15 08:39:03,Société Générale,GWQS82471836740173,"Welch, Klein and Anderson",CUEZ83952326422773,1688.99,EUR,1222.34,EUR,SWIFT
2020-12-15 12:10:11,Société Générale,GWIJ89033473072842,"Johnston, Lee and Nelson",ZABM84542606934846,2065.71,EUR,1133.82,GBP,INTERNAL
2022-09-14 14:31:33,Société Générale,MSMX83181515939098,Mason-Patterson,WDQK21048936765440,1641.92,GBP,2546.23,GBP,SWIFT
2021-09-29 23:32:57,Société Générale,JGLB49330878449511,Fritz-Ashley,VNGO42955936012999,800.07,EUR,1308.47,GBP,INTERNAL
2024-05-10 10:39:46,Société Générale,NPID44700781605431,Brown Ltd,ZNJA06346956623366,1387.43,GBP,2199.33,GBP,SWIFT
2024-09-25 07:44:37,Société Générale,ILSX46162950564107,Hamilton-Morgan,CPLE93207430636112,1873.78,EUR,2596.68,EUR,SEPA
2022-08-28 08:25:23,Société Générale,XVLC71459995077901,"Hancock, Jackson and White",EMBH47987571439663,4319.4,EUR,3174.49,GBP,SWIFT
2024-12-11 20:14:51,Société Générale,NGMQ67561543807331,"Carney, Brown and Hanson",ZPIC00988148962714,3022.4,USD,1969.93,USD,INTERNAL
2023-12-20 22:24:06,Société Générale,KTTC30817695697708,Hicks-Vang,VHBJ58514035050804,1331.93,GBP,4317.82,EUR,INTERNAL
2021-05-17 18:53:03,Société Générale,WSUU70800046153963,"Matthews, Ramirez and Rodriguez",VZIE99865378791466,3631.54,GBP,4435.46,USD,INTERNAL
2023-11-18 16:33:05,Société Générale,WSBV62201693261290,"Anderson, Hart and Wright",ALQQ24905558852425,1766.86,USD,2230.35,USD,SEPA
2021-12-06 10:55:28,Société Générale,VDAJ59563755743978,"Burton, Kirby and Rodriguez",JQMD14427195127515,4773.7,GBP,1390.61,GBP,SEPA
2021-06-27 09:11:26,Société Générale,TKFE25881712789928,Sanders Inc,YLCG39912540926155,2587.64,EUR,4365.54,USD,INTERNAL
2025-04-07 10:34:19,Société Générale,LZAU44239099365052,Yang-Bruce,ACWH88330470422463,2587.55,EUR,848.91,EUR,INTERNAL
2023-10-18 15:59:02,Société Générale,OZTZ56643015062604,Wright-Boone,RBUW81780472357474,4772.15,GBP,4600.62,GBP,SWIFT
2024-08-14 13:25:12,Société Générale,VJFV04128057249580,"Rodriguez, Green and Wilson",HRBD48772788849635,2494.17,EUR,4652.58,USD,SEPA
2022-11-12 09:59:39,Société Générale,ZLCQ45222963311801,Kane Inc,INOB73605802681686,383.83,GBP,4740.05,EUR,INTERNAL
2022-12-27 07:09:48,Société Générale,YUWY77908291701895,"Hubbard, Hawkins and Davis",TEML61080768254870,2481.35,EUR,4892.12,GBP,SEPA
2023-04-06 08:03:00,Société Générale,BZMA88639904109199,Drake Ltd,ZPTF02572394642121,729.12,USD,4739.56,EUR,SWIFT
2024-06-30 20:46:51,Société Générale,KJAF11383336539063,"Richardson, Hensley and Ramirez",WKVH43984101770028,2685.6,GBP,2173.38,EUR,INTERNAL
2024-08-15 09:52:17,Société Générale,AIQU81105884643796,"Perez, Wilson and Wu",BJMY21552896277452,3800.8,GBP,1085.64,USD,SWIFT
2021-11-23 06:32:26,Société Générale,XQFU45464814327260,"Sharp, Wagner and Ashley",PNZI53354476336059,4976.23,GBP,1929.76,GBP,SWIFT
2022-04-04 20:15:34,Société Générale,XXMC46750675551309,Fox-Clark,BEEF34766265824035,692.92,EUR,413.73,EUR,INTERNAL
2024-06-17 15:18:35,Société Générale,GJCS94251613728999,Ramirez-Sanders,RFEV28062687715133,2814.22,GBP,1179.07,EUR,INTERNAL
2021-05-24 09:05:20,Société Générale,KICR29100378236834,Shaw PLC,CHHH87033886224553,3192.4,EUR,430.26,EUR,SWIFT
2020-01-21 15:35:13,Société Générale,BSWJ55533253009886,Barker-Price,PZBN69760669672148,447.2,EUR,1464.54,USD,SEPA
2020-06-10 07:53:18,Société Générale,KXNP49763544185844,"Moore, Brown and Hill",HDZM43535879271308,2742.25,GBP,4684.02,GBP,INTERNAL
2020-12-31 05:40:55,Société Générale,YQNI54910627437702,"Wheeler, Patterson and Nguyen",AMAA68066528282144,2416.09,USD,4056.74,EUR,SEPA
2024-08-28 16:23:33,Société Générale,UZUE87888693312822,Rocha-Robertson,SSAY28039086986022,574.96,USD,1836.06,USD,SWIFT
2021-10-27 16:10:41,Société Générale,PIJD19806037406338,"Everett, Lopez and Olsen",JFPN38275924223817,4332.8,EUR,3399.49,GBP,SEPA
2025-03-23 02:41:02,Société Générale,YTIV26526542938482,"Garcia, Hernandez and Moss",CVSW68794818317302,397.0,GBP,1762.58,EUR,SEPA
2021-03-10 14:27:20,Société Générale,UPTY06131402867927,Edwards-Manning,ROHP03441312295215,1038.79,GBP,2298.21,USD,SEPA
2021-08-05 18:30:32,Société Générale,DAWO55882460315160,"Perez, Carter and Rivera",LTNR62530374596988,1464.87,EUR,4384.98,EUR,SWIFT
2025-02-09 08:03:12,Société Générale,HBPG16074536272182,Reyes-Cox,ABQO70335257992529,4059.31,GBP,579.75,GBP,INTERNAL
2023-02-01 21:48:42,Société Générale,DVRK04331027583374,"Brown, Harper and Drake",GSYP02036631583318,4196.54,EUR,4639.2,EUR,SEPA
2024-02-15 06:14:56,Société Générale,ABYN56734845744691,Reynolds Group,HIGH76976322369730,2091.43,USD,1147.36,USD,SEPA
2023-05-21 02:25:18,Société Générale,QFMO65582620696447,Gomez Group,SIUK29291495752603,906.72,EUR,4928.01,USD,SWIFT
2024-06-05 20:34:25,Société Générale,WKDK70947444102863,Mcmahon and Sons,NPOW87714418973171,1497.72,GBP,4790.86,GBP,INTERNAL
2024-02-29 01:57:07,Société Générale,ZTIU13409338393869,Barr-Lopez,MPUU66234843286415,3620.2,EUR,1030.5,EUR,SEPA
2021-06-25 11:28:56,Société Générale,DSMQ49865147646490,"Mitchell, West and Horton",WDLJ19349274174138,2937.98,GBP,398.69,USD,SEPA
2024-08-20 02:23:16,Société Générale,FEVZ61068826016539,"Johnson, Wagner and Smith",FJDQ16330580742009,345.7,USD,2563.97,GBP,SEPA
2021-06-10 04:50:27,Société Générale,PMCY36435450361017,Lee-Tran,IMVE60367173328520,378.71,GBP,492.55,EUR,SEPA
2020-03-26 11:17:23,Société Générale,QXSJ47851955946039,"Rocha, Mcguire and Mcgee",XZEU20128964870104,3015.67,GBP,4322.91,USD,SEPA
2024-02-17 15:12:54,Société Générale,CZWP68148718656486,Ryan-Dennis,ULMQ60067786408619,4713.82,GBP,1306.46,GBP,SEPA
2023-08-25 03:53:41,Société Générale,BCJQ59008769963245,Wong-Anthony,CTQW78251196337759,3134.97,USD,3321.13,GBP,INTERNAL
2025-06-26 18:47:00,Société Générale,XGXE99466530297887,Sanders PLC,FQIQ12003937955821,1650.21,USD,1100.87,GBP,SWIFT
2024-12-09 10:10:28,Société Générale,NOUQ05791591193277,Weaver PLC,MVMK21921904237509,1269.56,USD,741.3,GBP,SWIFT
2025-02-13 01:18:50,Société Générale,INVO67509413951714,Little Inc,YFZS64591153483025,2340.4,EUR,145.65,GBP,INTERNAL
2020-06-05 03:51:02,Société Générale,THEZ53701467576605,Maldonado-Johnson,OLWJ98339842824594,4980.87,EUR,2734.41,GBP,SWIFT
2024-03-07 02:42:51,Société Générale,ABIF22749493154489,Jacobs-Adams,QDIL21582437192041,749.04,USD,4416.23,EUR,SWIFT
2021-05-22 09:52:41,Société Générale,DGMG70089672379873,Diaz LLC,UACC26539699427760,1496.44,USD,4185.35,GBP,SWIFT
2022-09-27 13:27:31,Société Générale,MRDT02153800452253,"Valentine, Franco and Larson",UFKU12572164882345,3097.22,GBP,2691.81,GBP,INTERNAL
2021-07-01 06:37:10,Société Générale,NLNM98494146572841,"Sullivan, Martinez and Anthony",VKWC98516654148315,1566.96,GBP,607.57,EUR,SWIFT
2023-01-23 17:37:29,Société Générale,HSUT19826465984621,Hensley-Scott,IDFQ56193334713552,665.6,EUR,3737.84,EUR,SWIFT
2025-04-26 19:06:09,Société Générale,WXWD72588860516807,Williams-Johnson,GXUD99254586737252,1480.61,EUR,3616.3,EUR,INTERNAL
2020-08-03 09:34:07,Société Générale,HETQ22339984177293,Reid-Roman,WWUJ65596362067467,3207.77,USD,2576.5,USD,SEPA
2023-06-24 05:52:26,Société Générale,CBDS44526765149306,David LLC,ZJZC64043660213552,552.26,USD,4163.81,EUR,SEPA
2024-05-11 01:35:42,Société Générale,HYTB06677870792914,"Griffin, Webb and Smith",UVGU23189551423659,1734.43,EUR,3221.86,USD,SEPA
2022-04-25 05:39:13,Société Générale,VGKA08690056406674,Tate-Holt,NAVF35443338388931,3732.03,GBP,3557.77,GBP,SEPA
2021-06-29 15:59:03,Société Générale,CJWI01908778214668,"Lawrence, Turner and Fuller",URYH94213508998608,648.18,GBP,4529.25,GBP,SEPA
2025-02-04 11:55:04,Société Générale,XVCV27047294131843,Mendoza-Cox,IWOK26555778985851,4189.52,GBP,2807.37,USD,SEPA
2021-06-28 09:50:18,Société Générale,APGL77273415683908,Warren-Harmon,ZKNI97040489405463,304.96,USD,4505.01,EUR,SWIFT
2023-08-10 06:32:37,Société Générale,HASM17983275674120,"Wilson, Carson and Cain",HZIU47660992971973,1129.38,EUR,3367.97,USD,INTERNAL
2022-12-24 13:03:53,Société Générale,VOYL07149071652617,Payne-Smith,OBYF04226689582705,4432.26,USD,4871.8,GBP,SEPA
